,Unnamed: 0,Q2A1,Q5_1,QQ_1,QQ_2,QQ_3,QQ_4,QQ_5,QQ_6,QQ_7,QQ_8,QQ_9,QQ_10,QQ_11,QQ_12,QQ_13,QQ_14,CQ14_1T,D_COU,D_GEN,Q16_a
76,76,1.0,1.0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,2.0,7,2.0,1
77,77,2.0,1.0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,3.0,7,2.0,1
78,78,2.0,1.0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,2.0,7,1.0,1
79,79,2.0,1.0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,5.0,15,1.0,1
80,80,1.0,1.0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,2.0,7,2.0,1
81,81,1.0,2.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1.0,15,1.0,1
82,82,2.0,1.0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,2.0,7,1.0,1
83,83,2.0,1.0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,5.0,7,2.0,1
84,84,2.0,1.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7.0,15,2.0,1
85,85,2.0,1.0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,3.0,7,1.0,1
86,86,2.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1.0,7,2.0,1
87,87,3.0,1.0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,2.0,7,2.0,1
88,88,2.0,1.0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1.0,7,2.0,0
89,89,2.0,1.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1.0,7,2.0,1
90,90,3.0,1.0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1.0,18,2.0,1
91,91,3.0,1.0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,3.0,18,2.0,1
92,92,4.0,1.0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,2.0,18,2.0,1
93,93,2.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,3.0,18,2.0,1
94,94,4.0,1.0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,3.0,18,1.0,1
95,95,3.0,1.0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,2.0,18,1.0,0
96,96,3.0,2.0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,5.0,18,1.0,0
97,97,2.0,1.0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,2.0,18,1.0,0
98,98,1.0,1.0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,2.0,18,2.0,1
99,99,1.0,2.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.0,15,1.0,0
100,100,2.0,1.0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,3.0,7,1.0,1
101,101,2.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1.0,7,2.0,1
102,102,1.0,2.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,2.0,15,1.0,0
103,103,3.0,3.0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,4.0,7,1.0,1
104,104,2.0,1.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1.0,7,2.0,1
105,105,1.0,1.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2.0,7,1.0,1
106,106,2.0,1.0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,4.0,7,1.0,1
107,107,2.0,1.0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1.0,7,1.0,1
108,108,3.0,1.0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,6.0,18,2.0,1
109,109,2.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1.0,7,2.0,1
110,110,2.0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,3.0,7,1.0,1
111,111,4.0,2.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1.0,15,1.0,1
112,112,2.0,1.0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1.0,7,1.0,1
113,113,2.0,1.0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,5.0,18,1.0,1
114,114,1.0,1.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,2.0,7,2.0,1
115,115,1.0,2.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3.0,15,1.0,1
116,116,2.0,2.0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,3.0,15,1.0,1
117,117,3.0,1.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,3.0,7,2.0,1
118,118,1.0,1.0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,6.0,18,1.0,1
119,119,1.0,1.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2.0,7,2.0,1
120,120,1.0,2.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6.0,15,1.0,1
121,121,3.0,1.0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,4.0,15,1.0,1
122,122,3.0,1.0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,2.0,7,2.0,1
123,123,3.0,1.0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,3.0,7,1.0,0
124,124,2.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,15,2.0,1
125,125,2.0,1.0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,3.0,7,2.0,1
126,126,2.0,1.0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1.0,15,2.0,1
127,127,2.0,1.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2.0,7,2.0,1
128,128,1.0,2.0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,2.0,15,2.0,1
129,129,3.0,1.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,2.0,7,2.0,0
130,130,1.0,2.0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1.0,15,1.0,1
131,131,1.0,2.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2.0,15,1.0,1
132,132,4.0,4.0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,3.0,15,1.0,1
133,133,1.0,1.0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,5.0,15,1.0,1
134,134,2.0,1.0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1.0,15,2.0,1
135,135,2.0,1.0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,4.0,15,1.0,1
136,136,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,15,2.0,0
137,137,1.0,1.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6.0,15,2.0,1
138,138,2.0,1.0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1.0,15,1.0,1
139,139,1.0,1.0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,4.0,15,2.0,1
140,140,1.0,1.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2.0,15,2.0,1
141,141,1.0,1.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,5.0,15,1.0,1
142,142,2.0,2.0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,4.0,15,2.0,1
143,143,3.0,1.0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,6.0,15,2.0,1
144,144,2.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,6.0,15,1.0,1
145,145,1.0,4.0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,3.0,15,2.0,1
146,146,2.0,1.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1.0,7,2.0,1
147,147,4.0,2.0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,3.0,15,1.0,0
148,148,2.0,1.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,3.0,7,2.0,1
149,149,5.0,5.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1.0,15,1.0,1
