,Q2A1,Q5_1,QQ_1,QQ_2,QQ_3,QQ_4,QQ_5,QQ_6,QQ_7,QQ_8,QQ_9,QQ_10,QQ_11,QQ_12,QQ_13,QQ_14,CQ14_1T,D_COU,D_GEN,Q16_a
11874,4.0,1.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,5.0,0,1.0,1
11875,4.0,1.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,3.0,0,1.0,0
11876,4.0,2.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0,2.0,1
11877,1.0,2.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4.0,0,2.0,1
11878,2.0,5.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2.0,0,2.0,1
11879,4.0,2.0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,3.0,0,2.0,1
11880,4.0,1.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,3.0,0,2.0,1
11881,2.0,1.0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,3.0,0,1.0,1
11882,4.0,2.0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,4.0,0,2.0,1
11883,4.0,1.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2.0,0,2.0,1
11884,4.0,1.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2.0,0,2.0,1
11885,2.0,1.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2.0,0,2.0,1
11886,2.0,1.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2.0,0,1.0,1
11887,2.0,1.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0,1.0,1
11888,4.0,2.0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,2.0,0,1.0,1
11889,1.0,1.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,2.0,0,2.0,1
11890,2.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1.0,0,2.0,1
11891,2.0,1.0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,2.0,0,1.0,1
11892,1.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2.0,0,1.0,1
11893,1.0,1.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2.0,0,2.0,1
11894,2.0,1.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,5.0,0,2.0,1
11895,2.0,1.0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,3.0,0,1.0,1
11896,4.0,2.0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,3.0,0,1.0,0
