,Q2A1,Q5_1,QQ_1,QQ_2,QQ_3,QQ_4,QQ_5,QQ_6,QQ_7,QQ_8,QQ_9,QQ_10,QQ_11,QQ_12,QQ_13,QQ_14,CQ14_1T,D_COU,D_GEN,D_AGE,Q16_a,Q15_2A1,Q15_2A2,Q15_2A3,Q15_2A4,Q15_2A5,Q15_2A6,Q15_2A7,Q15_2A8,Q15_2A9,Q15_2A10,Q15_2A11,Q15_2A12,Q10_2A1
1129,3.0,3.0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,4.0,0,1.0,2.0,1,5.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,5.0,3.0,1.0
1130,2.0,1.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,2.0,0,2.0,5.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,57.0
1131,2.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3.0,0,2.0,3.0,1,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,1.0
1132,2.0,1.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1.0,0,2.0,5.0,1,5.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,5.0,2.0,109.0
1133,4.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2.0,0,1.0,4.0,1,4.0,0.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0
1134,4.0,2.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,5.0,0,1.0,2.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,1.0
1135,4.0,3.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,3.0,0,2.0,3.0,1,5.0,5.0,5.0,4.0,3.0,2.0,3.0,4.0,2.0,2.0,5.0,4.0,3.0
1136,2.0,2.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,4.0,0,2.0,1.0,1,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,57.0
1137,2.0,1.0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,4.0,0,2.0,4.0,1,5.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,57.0
1138,,3.0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1.0,0,2.0,3.0,1,4.0,3.0,3.0,4.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,88.0
1139,2.0,2.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,2.0,0,2.0,4.0,1,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,1.0
1140,3.0,1.0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2.0,1,2.0,2.0,1,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0
1141,2.0,1.0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,2.0,0,2.0,2.0,1,5.0,5.0,4.0,4.0,3.0,5.0,4.0,5.0,3.0,3.0,5.0,4.0,1.0
1142,,2.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1.0,0,1.0,5.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,14.0
1143,2.0,1.0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1.0,0,2.0,6.0,0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,5.0,3.0,1.0
1144,2.0,1.0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,5.0,0,1.0,4.0,1,4.0,4.0,4.0,3.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0,4.0,1.0
1145,4.0,2.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2.0,0,1.0,4.0,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,3.0,4.0,4.0,5.0
1146,4.0,2.0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1.0,0,2.0,3.0,1,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,5.0,5.0,3.0,9.0
1147,3.0,1.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2.0,0,1.0,2.0,0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,2.0,3.0,5.0,3.0,1.0
1148,,2.0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,3.0,0,1.0,4.0,1,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,6.0
1149,4.0,2.0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,2.0,0,1.0,3.0,1,4.0,5.0,3.0,5.0,3.0,4.0,3.0,4.0,1.0,1.0,4.0,4.0,1.0
