,Q2A1,Q5_1,QQ_1,QQ_2,QQ_3,QQ_4,QQ_5,QQ_6,QQ_7,QQ_8,QQ_9,QQ_10,QQ_11,QQ_12,QQ_13,QQ_14,CQ14_1T,D_COU,D_GEN,Q16_a
162,4.0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,6,15,1,1
163,4.0,2,0,1,0,0,1,1,0,0,0,1,0,1,0,1,2,15,1,1
164,1.0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,7,1,1
165,4.0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,15,1,1
166,2.0,2,1,1,0,1,0,1,0,0,0,1,0,1,0,1,3,15,1,1
167,2.0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,6,15,2,1
168,2.0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,7,1,1
169,1.0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,15,1,0
170,1.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,15,1,1
171,4.0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,7,1,1
172,2.0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,6,15,1,1
173,1.0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3,15,1,1
174,3.0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,7,2,1
175,1.0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,2,15,1,1
176,3.0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,2,7,2,1
177,4.0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,7,15,1,1
178,2.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,6,15,2,1
179,1.0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,6,7,2,1
180,1.0,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,3,15,1,1
181,2.0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,6,15,1,1
182,4.0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,3,15,2,1
183,1.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,15,2,0
184,1.0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,5,15,2,1
185,2.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,15,2,1
186,2.0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,3,15,2,1
187,1.0,3,0,1,1,1,1,1,0,0,0,1,0,1,0,0,3,15,1,1
188,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,15,2,1
189,1.0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,7,1,1
190,1.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,4,15,1,1
191,2.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,7,2,0
192,1.0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,6,15,1,1
193,1.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,15,2,1
194,2.0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,5,15,1,1
195,1.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,15,2,1
196,4.0,2,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,15,2,0
197,3.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,4,15,1,1
198,2.0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,4,15,2,1
199,4.0,2,1,1,0,1,1,0,0,1,0,0,0,0,0,0,4,15,1,1
200,4.0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,3,18,1,1
201,4.0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,4,18,2,1
202,2.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5,15,1,1
203,3.0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,2,18,1,0
204,2.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,3,7,1,1
205,4.0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,7,15,1,1
206,1.0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,7,1,1
207,2.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,7,1,1
208,1.0,3,0,1,0,1,1,0,0,0,0,0,0,1,0,0,3,15,1,1
209,2.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,7,2,1
210,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,15,1,1
211,1.0,2,0,1,1,1,0,0,0,0,0,0,1,0,0,0,3,15,1,1
212,2.0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,5,15,2,1
213,3.0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,2,15,2,1
214,1.0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,15,1,1
215,1.0,2,0,1,0,1,0,0,0,0,0,0,1,1,0,0,4,15,2,1
216,1.0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,4,15,1,0
217,1.0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,15,1,1
218,1.0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,15,1,1
219,4.0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,6,15,1,0
220,4.0,2,0,1,1,1,0,0,0,0,0,0,1,0,0,0,6,15,2,1
221,1.0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,2,7,2,1
222,2.0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,4,15,2,0
223,2.0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5,7,1,1
224,3.0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,2,7,1,1
225,2.0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,6,15,2,1
226,3.0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,2,7,1,1
227,2.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,15,1,1
228,2.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,2,7,2,1
229,2.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,3,15,2,0
230,4.0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,15,2,0
231,2.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3,18,1,1
232,1.0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,4,7,1,1
233,1.0,2,0,1,1,1,0,0,0,0,0,0,1,0,0,0,3,18,1,1
234,3.0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,7,1,1
235,4.0,2,1,1,0,1,0,1,0,0,0,0,1,0,0,0,2,18,1,1
